Time,Latitude,Longitude,Depth_Km,Magnitude
2016-08-24 07:20:33.260,42.8135,13.1697,10.3,2.2
2016-08-24 07:21:42.440,42.7965,13.1952,6.2,2.4
2016-08-24 07:22:28.950,42.7332,13.2688,10.6,2.3
2016-08-24 07:22:42.460,42.6387,13.2282,11.0,2.8
2016-08-24 07:24:00.040,42.7595,13.237,7.3,3.2
2016-08-24 07:25:04.400,42.6373,13.2117,15.9,2.4
2016-08-24 07:27:51.130,42.6228,13.2793,13.4,2.0
2016-08-24 07:28:58.900,42.7238,13.1793,10.4,2.8
2016-08-24 07:29:34.540,42.7528,13.1702,9.1,2.2
2016-08-24 07:29:54.810,42.7997,13.1217,8.9,2.7
2016-08-24 07:31:24.850,42.7835,13.1318,10.6,2.5
2016-08-24 07:31:32.080,42.6633,13.1937,9.6,3.3
2016-08-24 07:32:54.420,42.826,13.1448,12.0,2.1
2016-08-24 07:34:39.460,42.7912,13.198,9.6,2.5
2016-08-24 07:34:57.850,42.8257,13.1493,11.5,2.3
2016-08-24 07:35:09.320,42.8158,13.1217,7.1,2.7
2016-08-24 07:36:19.130,42.8012,13.1358,7.3,3.3
2016-08-24 07:37:45.900,42.6062,13.2855,10.0,3.0
2016-08-24 07:38:44.280,42.7113,13.204,9.6,2.3
2016-08-24 07:39:45.420,42.8015,13.2077,8.6,2.1
2016-08-24 07:40:09.380,42.7502,13.1842,4.7,2.3
2016-08-24 07:40:41.230,42.6277,13.2415,11.2,2.3
2016-08-24 07:41:43.220,42.7238,13.2732,9.9,2.0
2016-08-24 07:42:51.530,42.7698,13.1683,10.8,2.0
2016-08-24 07:43:03.930,42.6528,13.2987,7.8,2.4
2016-08-24 07:43:44.070,42.8012,13.1417,9.3,2.5
2016-08-24 07:45:35.230,42.6525,13.213,9.5,2.8
2016-08-24 07:46:30.690,42.6813,13.2648,10.2,2.1
2016-08-24 07:47:07.590,42.7997,13.2348,10.5,2.1
2016-08-24 07:48:02.420,42.8208,13.2295,15.3,2.0
2016-08-24 07:48:24.640,42.8032,13.1717,10.1,2.4
2016-08-24 07:49:20.810,42.6252,13.2427,11.2,2.0
2016-08-24 07:50:18.570,42.6198,13.2928,7.0,2.3
2016-08-24 07:50:57.280,42.7888,13.2357,6.9,2.7
2016-08-24 07:52:03.470,42.7518,13.2638,9.9,2.8
2016-08-24 07:53:45.020,42.7848,13.2322,6.7,2.2
2016-08-24 07:54:26.000,42.8495,13.1567,7.3,2.2
2016-08-24 07:55:19.160,42.7487,13.2228,9.8,2.8
2016-08-24 07:57:09.420,42.7968,13.1523,8.5,2.0
2016-08-24 07:58:55.290,42.6192,13.2417,11.6,2.4
2016-08-24 07:59:45.850,42.7917,13.17,11.2,2.4
2016-08-24 08:00:45.560,42.812,13.1813,9.2,2.0
2016-08-24 08:00:58.760,42.618,13.289000000000001,6.7,2.8
2016-08-24 08:01:50.760,42.7362,13.2022,9.8,2.4
2016-08-24 08:03:05.800,42.7487,13.1807,9.7,2.1
2016-08-24 08:04:36.590,42.8235,13.2328,8.0,2.3
2016-08-24 08:05:11.710,42.637,13.2608,9.8,2.3
2016-08-24 08:06:15.740,42.6043,13.2285,10.0,2.3
2016-08-24 08:06:22.020,42.7082,13.2275,8.9,2.2
2016-08-24 08:07:54.430,42.7457,13.2258,8.7,2.5
2016-08-24 08:09:07.640,42.7557,13.1452,5.9,2.5
2016-08-24 08:10:37.400,42.7558,13.235999999999999,11.1,2.0
2016-08-24 08:11:34.670,42.7,13.1887,8.1,3.0
2016-08-24 08:12:55.120,42.8003,13.159,8.6,2.4
2016-08-24 08:13:19.380,42.7508,13.1993,8.9,2.1
2016-08-24 08:14:10.680,42.7368,13.2267,10.1,2.4
2016-08-24 08:14:48.380,42.7928,13.1868,9.0,2.3
2016-08-24 08:15:20.440,42.6113,13.3187,8.0,2.0
2016-08-24 08:15:32.960,42.6303,13.2373,11.1,2.7
2016-08-24 08:17:21.840,42.8173,13.1315,6.3,2.3
2016-08-24 08:18:19.540,42.7557,13.186,8.0,2.7
2016-08-24 08:19:19.190,42.4938,13.2827,11.1,2.4
2016-08-24 08:19:43.090,42.8013,13.1377,5.1,2.6
2016-08-24 08:20:54.940,42.7927,13.1888,8.9,2.3
2016-08-24 08:21:35.600,42.8012,13.1935,7.4,2.7
2016-08-24 08:25:12.610,42.7992,13.1833,8.3,2.1
2016-08-24 08:27:00.360,42.8047,13.1672,7.4,3.2
2016-08-24 08:35:01.590,42.79600000000001,13.1673,7.5,2.6
2016-08-24 08:36:30.020,42.802,13.1488,8.3,2.6
2016-08-24 08:39:15.130,42.9745,13.1423,8.7,2.4
2016-08-24 08:39:48.730,42.772,13.2267,6.5,2.7
2016-08-24 08:40:26.670,42.6962,13.1193,11.0,2.1
2016-08-24 08:41:15.830,42.79,13.2298,8.1,2.2
2016-08-24 08:42:37.990,42.5765,13.2418,16.6,2.4
2016-08-24 08:44:01.750,42.7915,13.1553,7.8,2.1
2016-08-24 08:44:51.440,42.7838,13.1893,9.5,2.0
2016-08-24 08:45:10.030,42.8117,13.1532,7.2,2.6
2016-08-24 08:45:24.410,42.7292,13.158,10.3,2.2
2016-08-24 08:46:47.530,42.8187,13.1638,10.6,2.2
2016-08-24 08:47:41.960,42.8955,13.1753,9.8,2.0
2016-08-24 08:51:30.830,42.74100000000001,13.2388,7.4,2.4
2016-08-24 08:52:37.230,42.765,13.2245,6.7,2.3
2016-08-24 08:54:54.280,42.7993,13.1863,8.8,3.2
2016-08-24 08:59:37.370,42.8038,13.1625,10.0,2.7
2016-08-24 08:59:45.360,42.8218,13.2433,11.4,2.8
2016-08-24 09:00:53.660,42.6783,13.2342,9.3,2.3
2016-08-24 09:01:49.810,42.8145,13.1635,10.0,2.3
2016-08-24 09:02:41.070,42.7997,13.1553,10.0,2.1
2016-08-24 09:03:58.070,42.868,13.1327,6.4,2.2
2016-08-24 09:04:59.150,42.8162,13.1947,10.2,2.0
2016-08-24 09:06:01.780,42.7692,13.1812,9.5,2.2
2016-08-24 09:07:01.370,42.6045,13.2405,10.5,2.9
2016-08-24 09:08:33.240,42.7917,13.2307,7.3,2.1
2016-08-24 09:08:58.660,42.6883,13.2893,10.2,2.5
2016-08-24 09:10:03.660,42.7763,13.1523,9.4,3.6
2016-08-24 09:10:55.450,42.7765,13.1582,9.4,3.2
2016-08-24 09:13:00.550,42.6075,13.2792,10.5,2.3
2016-08-24 09:14:02.950,42.8302,13.2382,10.1,2.0
